#{"t_start": 1758583306.6456592, "env_id": "None"}
r,l,t
2.16,34,120.368261
2.15,35,120.428114
2.16,34,121.156713
2.16,34,121.214727
2.16,34,121.274376
2.16,34,121.33321
2.16,34,121.391717
2.16,34,121.452832
2.16,34,121.511181
2.16,34,121.571524
2.16,34,121.631291
2.16,34,121.691762
2.16,34,121.754833
2.16,34,121.817255
2.16,34,121.881452
2.16,34,121.941492
2.16,34,122.000679
2.16,34,122.061316
2.16,34,122.121418
2.16,34,122.180059
2.16,34,122.241339
2.16,34,122.301446
2.16,34,122.360674
2.16,34,122.420022
2.16,34,122.479791
2.16,34,122.548767
2.16,34,122.606722
2.16,34,122.757506
2.16,34,122.823165
2.16,34,122.888996
2.16,34,122.947865
2.16,34,123.005992
2.16,34,123.529557
2.16,34,123.590316
2.16,34,123.842157
2.16,34,123.91165
2.16,34,123.972648
2.15,35,124.034915
2.16,34,124.09597
2.16,34,124.155581
2.16,34,124.215698
2.15,35,124.277724
2.15,35,124.340261
2.16,34,124.398761
2.16,34,124.458898
2.16,34,124.520296
2.16,34,124.580067
2.16,34,124.63777
2.16,34,124.696607
2.16,34,124.756082
2.16,34,124.81394
2.16,34,124.873988
2.16,34,124.937361
2.16,34,124.995361
2.16,34,125.058385
2.16,34,125.119873
2.15,35,125.182774
2.16,34,125.242276
2.16,34,125.30351
2.16,34,125.361212
2.16,34,125.420677
2.16,34,125.478599
2.16,34,126.104338
2.16,34,126.166662
2.16,34,126.225522
2.16,34,126.286059
2.16,34,126.344793
2.16,34,126.404499
2.15,35,126.464793
2.16,34,126.521916
2.16,34,126.582096
2.16,34,126.640864
2.16,34,126.704584
2.16,34,126.764952
2.16,34,126.826078
2.16,34,126.88802
2.16,34,126.949512
2.16,34,127.010827
2.16,34,127.071873
2.16,34,127.133047
2.16,34,127.191173
2.16,34,127.251565
2.16,34,127.311943
2.16,34,127.371009
2.16,34,127.43232
2.16,34,127.492081
2.16,34,127.550501
2.16,34,127.610408
2.16,34,127.671161
2.16,34,127.729422
2.16,34,127.788429
2.16,34,127.848163
2.16,34,128.556664
2.16,34,128.616193
2.16,34,128.675229
2.16,34,128.737969
2.16,34,128.800805
2.16,34,128.859858
2.16,34,128.919459
2.15,35,128.980645
2.16,34,129.0457
2.16,34,129.110137
2.16,34,129.168998
2.16,34,129.231488
2.16,34,129.292228
2.16,34,129.354777
2.16,34,129.41464
2.16,34,129.473401
2.16,34,129.536559
2.16,34,129.595594
2.16,34,129.657488
2.16,34,129.718256
2.16,34,129.778008
2.16,34,129.838997
2.16,34,129.898405
2.16,34,129.959233
2.16,34,130.019137
2.16,34,130.083926
2.16,34,130.146135
2.16,34,130.208419
2.16,34,130.268496
2.16,34,130.328078
2.16,34,130.38895
2.16,34,131.131278
2.16,34,131.198597
2.16,34,131.259541
2.16,34,131.320094
2.16,34,131.383685
2.16,34,131.444375
2.16,34,131.504539
2.16,34,131.568484
2.16,34,131.63829
2.16,34,131.702011
2.16,34,131.766947
2.16,34,131.833879
2.16,34,131.894296
2.16,34,131.955593
2.16,34,132.017787
2.16,34,132.07958
2.16,34,132.142289
2.16,34,132.20301
2.16,34,132.263938
2.16,34,132.323529
2.16,34,132.381023
2.16,34,132.438498
2.16,34,132.497367
2.16,34,132.555852
2.16,34,132.614702
2.16,34,132.672427
2.16,34,132.730892
2.16,34,132.79143
2.16,34,132.851974
2.16,34,132.911521
2.16,34,133.526845
2.16,34,133.585562
2.15,35,133.644939
2.16,34,133.703595
2.16,34,133.762807
2.16,34,133.820229
2.16,34,133.878001
2.16,34,133.939046
2.16,34,134.149873
2.15,35,134.248628
2.16,34,134.313423
2.16,34,134.37328
2.16,34,134.430973
2.16,34,134.490766
2.15,35,134.550725
2.15,35,134.609559
2.16,34,134.66771
2.16,34,134.726291
2.16,34,134.785177
2.16,34,134.844
2.16,34,134.901197
2.16,34,134.958578
2.16,34,135.017605
2.16,34,135.078699
2.16,34,135.138539
2.16,34,135.201698
2.16,34,135.263979
2.16,34,135.324106
2.16,34,135.383757
2.15,35,135.44412
2.16,34,135.988463
2.14,36,136.051422
2.16,34,136.109781
2.16,34,136.168013
2.16,34,136.232319
2.16,34,136.295348
2.16,34,136.355902
2.16,34,136.415266
2.16,34,136.474164
2.16,34,136.53197
2.16,34,136.590469
2.16,34,136.650742
2.16,34,136.710819
2.16,34,136.771091
2.16,34,136.831806
2.16,34,136.892207
2.16,34,136.951821
2.16,34,137.012074
2.16,34,137.080618
2.16,34,137.139822
2.16,34,137.210042
2.16,34,137.268274
2.16,34,137.326783
2.16,34,137.386145
2.16,34,137.454743
2.16,34,137.51513
2.16,34,137.585444
2.16,34,137.650658
2.16,34,137.709359
2.16,34,137.783954
2.16,34,138.395263
2.16,34,138.456002
