#{"t_start": 1758580292.432392, "env_id": "None"}
r,l,t
-0.11,12,108.305878
-0.18,19,108.3467
-0.22,23,108.395076
-0.15,16,108.426716
-0.13,14,108.454307
-0.02,3,108.46118
-0.53,4,108.469508
-0.13,14,108.497098
-0.14,15,108.530052
-0.2,21,108.585589
-0.12,13,108.611945
-0.27,28,108.670792
-0.08,9,108.688916
-0.2,21,108.73238
-0.09,10,108.752346
-0.22,23,108.799556
-0.3,31,108.865769
-0.14,15,108.89621
-0.15,16,108.929437
-0.18,19,108.968224
-0.1,11,108.990665
-0.11,12,110.079008
-0.56,7,110.094189
-0.13,14,110.123755
-0.22,23,110.175819
-0.12,13,110.204615
-0.19,20,110.246461
-0.2,21,110.286031
-0.17,18,110.319593
-0.5,1,110.32146
-0.07,8,110.336828
-0.08,9,110.353804
-0.05,6,110.365246
-0.55,6,110.376901
-0.22,23,110.420766
-0.19,20,110.461152
-0.12,13,110.486523
-0.08,9,110.503407
-0.18,19,110.539288
-0.56,7,110.552474
-0.07,8,110.567004
-0.15,16,110.596993
-0.15,16,110.628598
-0.09,10,110.647979
-0.35,36,110.727897
-0.13,14,110.754311
-0.16,17,110.785529
-0.14,15,110.814371
-0.18,19,110.851192
-0.09,10,110.870317
-0.12,13,110.896184
-0.17,18,110.930628
-0.21,22,110.971309
-0.06,7,110.984145
-0.15,16,111.014869
-0.1,11,111.036062
-0.11,12,111.059674
-0.16,17,111.093101
-0.51,2,111.097384
-0.09,10,111.116533
-0.16,17,111.148777
-0.52,3,111.154656
-0.06,7,111.167666
-0.2,21,111.207308
-0.26,27,111.257728
-0.51,2,111.261679
-0.21,22,111.30291
-0.09,10,111.322264
-0.1,11,111.343241
-0.08,9,111.360086
-0.25,26,111.412566
-0.07,8,111.427386
-0.5,1,111.429353
-0.51,2,111.433468
-0.08,9,111.451418
-0.06,7,111.465152
-0.32,33,111.527021
-0.22,23,111.570127
-0.08,9,111.586709
-0.16,17,111.618884
-0.12,13,111.642595
-0.07,8,111.657397
-0.2,21,111.696105
-0.19,20,111.737422
-0.21,22,111.781368
-0.12,13,111.806201
-0.16,17,111.838814
-0.05,6,111.850165
-0.14,15,111.880695
-0.18,19,111.918339
-0.04,5,111.928116
-0.08,9,111.945045
-0.1,11,111.965969
-0.26,27,112.018433
-0.19,20,112.056731
-0.04,5,112.065937
-0.16,17,112.545304
-0.16,17,112.579218
-0.2,21,112.620245
-0.09,10,112.640365
-0.09,10,112.659295
-0.11,12,112.684141
-0.09,10,112.704387
-0.11,12,112.727501
-0.12,13,112.751491
-0.19,20,112.795266
-0.12,13,112.819859
-0.17,18,112.854396
-0.18,19,112.890773
-0.21,22,112.931893
-0.34,35,112.999097
-0.2,21,113.037595
-0.11,12,113.05972
-0.03,4,113.066815
-0.34,35,113.132802
-0.14,15,113.16064
-0.16,17,113.191895
-0.11,12,113.214143
-0.1,11,113.234704
-0.18,19,113.270185
-0.06,7,113.283406
-0.12,13,113.307607
-0.23,24,113.35209
-0.29,30,113.409966
-0.06,7,113.422926
-0.11,12,113.444611
-0.17,18,113.479588
-0.12,13,113.50436
-0.1,11,113.5244
-0.06,7,113.537414
-0.22,23,113.580032
-0.54,5,113.589408
-0.06,7,113.602079
-0.11,12,113.624998
-0.13,14,113.652283
-0.19,20,113.689609
-0.35,36,113.756015
-0.08,9,113.772758
-0.52,3,113.779346
-0.21,22,113.823637
-0.15,16,113.854533
-0.14,15,113.883709
-0.12,13,113.90868
-0.19,20,113.945417
-0.51,2,113.949043
-0.13,14,113.975613
-0.08,9,113.993385
-0.14,15,114.02149
-0.16,17,114.052289
-0.06,7,114.065724
-0.15,16,114.095792
-0.1,11,114.116448
-0.04,5,114.126734
-0.16,17,114.159355
-0.06,7,114.172588
-0.09,10,114.191292
-0.16,17,114.224277
-0.16,17,114.256185
-0.54,5,114.265756
-0.13,14,114.291234
-0.12,13,114.315441
-0.11,12,114.337503
-0.54,5,114.346583
-0.56,7,114.359373
-0.14,15,114.387722
-0.18,19,114.4234
-0.53,4,114.430435
-0.14,15,114.460798
-0.1,11,115.242087
-0.16,17,115.277483
-0.12,13,115.303442
-0.21,22,115.34686
-0.13,14,115.37427
-0.51,2,115.378147
-0.14,15,115.408862
-0.19,20,115.447722
-0.13,14,115.475313
-0.05,6,115.487333
-0.23,24,115.534044
-0.15,16,115.564362
-0.22,23,115.608714
-0.12,13,115.633583
-0.15,16,115.663508
-0.22,23,115.706872
-0.12,13,115.731558
-0.09,10,115.751394
-0.54,5,115.761008
-0.19,20,115.799194
-0.17,18,115.8327
-0.15,16,115.862119
-0.14,15,115.890929
-0.14,15,115.924687
-0.53,4,115.934578
-0.22,23,115.978421
-0.22,23,116.020782
-0.56,7,116.036709
-0.05,6,116.051126
-0.5,1,116.053509
-0.15,16,116.09251
-0.11,12,116.127451
-0.5,1,116.139885
-0.13,14,116.176669
-0.09,10,116.196022
-0.28,29,116.252501
-0.11,12,116.283494
-0.09,10,116.303707
-0.13,14,116.332513
-0.51,2,116.336664
-0.11,12,116.360313
-0.08,9,116.377866
-0.55,6,116.389493
-0.09,10,116.409675
-0.22,23,116.454716
-0.13,14,116.482389
-0.16,17,116.515564
-0.11,12,116.540498
-0.07,8,116.556137
-0.17,18,116.595479
-0.1,11,116.616223
-0.5,1,116.618349
-0.56,7,116.631433
-0.11,12,116.654556
-0.18,19,116.692614
-0.28,29,116.749002
-0.09,10,116.769192
-0.35,36,116.840516
-0.09,10,116.862135
-0.12,13,116.888077
-0.18,19,116.92635
-0.15,16,116.965984
-0.28,29,117.037475
-0.09,10,117.056749
-0.07,8,117.072576
-0.11,12,117.096215
-0.04,5,117.105934
-0.35,36,117.177147
-0.09,10,117.197879
-0.2,21,117.239297
-9.5,1000,119.961286
-0.14,15,119.991548
-0.08,9,120.010171
-0.15,16,120.041425
-0.19,20,120.079002
-0.06,7,120.632846
-0.06,7,120.6476
-0.09,10,120.667814
-0.13,14,120.69785
-0.1,11,120.721738
-0.07,8,120.738262
-0.2,21,120.784243
-0.17,18,120.822567
-0.19,20,120.866205
-0.5,1,120.868359
-0.1,11,120.891726
-0.05,6,120.905966
-0.58,9,120.925455
-0.14,15,120.959941
-0.1,11,120.982962
-0.07,8,121.000408
-0.51,2,121.005036
-0.12,13,121.032598
-0.17,18,121.07059
-0.12,13,121.097673
-0.09,10,121.117766
-0.23,24,121.167373
-0.14,15,121.219174
-0.18,19,121.276802
-0.52,3,121.285108
-0.35,36,121.362886
-0.12,13,121.393811
-0.13,14,121.427302
-0.14,15,121.461458
-0.15,16,121.496949
-0.12,13,121.527289
-0.18,19,121.56959
-0.09,10,121.592652
-0.11,12,121.62066
-0.17,18,121.660326
-0.11,12,121.686035
-0.13,14,121.716623
-0.17,18,121.75469
-0.1,11,121.778384
-0.14,15,121.810822
-0.07,8,121.828406
-0.02,3,121.834594
-0.14,15,121.870289
-0.08,9,121.891581
-0.13,14,121.920935
-0.08,9,121.942103
-0.15,16,121.977563
-0.11,12,122.003688
-0.08,9,122.023291
-0.14,15,122.054669
-0.08,9,122.073926
-0.03,4,122.082537
-0.1,11,122.106841
-0.51,2,122.111621
-0.1,11,122.134727
