#{"t_start": 1758576410.4097598, "env_id": "None"}
r,l,t
1.8100005,69,19.743186
1.5500002,95,19.757855
1.3600003,114,19.759885
1.7400006,76,19.761786
1.4300001,107,19.790073
1.7400004,76,19.814474
1.35,115,19.837121
1.9100003,59,20.28997
1.6600003,84,20.295205
1.2300003,127,20.297008
1.5600003,94,20.298824
0.9600007,154,20.315127
1.5400002,96,20.322903
1.7800004,72,20.335304
1.5400002,96,20.34244
1.6300004,87,20.347759
1.2900001,121,20.358352
1.5400002,96,20.358389
1.6100003,89,20.368849
1.4900001,101,20.387899
1.9600003,54,20.394896
1.8700004,63,20.40878
1.7700002,73,20.417658
1.9500005,55,20.421246
1.4800003,102,20.421276
1.8100007,69,20.424833
1.7500005,75,20.42667
2.0100005,49,20.436567
2.0000005,50,20.448841
1.9100003,59,20.448878
1.3400002,116,20.471753
1.6300002,87,20.4718
1.9300004,57,20.499378
1.9300004,57,20.506327
1.7300005,77,20.516982
1.6600003,84,20.518917
1.5200002,98,20.520762
1.9100004,59,20.537584
1.8700005,63,20.541205
1.8700004,63,20.549986
1.9100003,59,20.551933
1.7500004,75,20.566201
1.8600004,64,20.573293
1.4900002,101,20.601484
1.7900004,71,20.608449
1.9400004,56,20.621241
1.5900004,91,20.623028
1.44,106,20.626533
2.0000005,50,20.633167
1.7100004,79,20.65344
1.9400004,56,20.653488
1.7400005,76,20.657007
1.6000003,90,20.665641
1.7900003,71,20.667675
1.3900002,111,20.683169
1.8900003,61,20.684956
1.5800002,92,20.688437
1.7600002,74,20.701797
2.0000005,50,20.725688
1.9300005,57,20.727554
-0.4399999,45,20.736189
1.4100002,109,20.752432
2.0000002,50,20.757731
1.6500003,85,20.759582
1.6900005,81,20.759612
1.7500005,75,20.764871
1.7800004,72,20.788485
1.5800002,92,20.79205
1.7500005,75,20.804321
1.6700003,83,20.804356
1.8100004,69,20.814701
1.9600004,54,20.823404
1.9300005,57,20.826906
1.6300002,87,20.844655
1.6100004,89,20.864506
1.7600005,74,20.869957
1.8700004,63,20.871807
1.8900005,61,20.87539
1.9800005,52,20.882468
1.8100004,69,20.88437
2.0000005,50,20.894938
1.9800005,52,20.898516
1.7000003,80,20.934911
1.5200001,98,20.934953
1.8900003,61,20.936773
2.0300004,47,20.95983
1.7000003,80,20.959879
2.0500004,45,20.963657
1.3100003,119,20.96732
1.7800006,72,20.974491
1.9200006,58,20.976301
1.9100003,59,20.99059
1.9100003,59,21.00133
0.740001,176,21.003283
1.6700004,83,21.018947
1.6200004,88,21.022489
1.2700002,123,21.045064
1.8800004,62,21.04688
1.6600003,84,21.050699
1.7500005,75,21.074041
1.8800004,62,21.07587
1.8100004,69,21.090165
1.8700004,63,21.09548
1.9100004,59,21.114568
1.6300002,87,21.121588
1.8600004,64,21.121621
1.49,101,21.123447
1.7500005,75,21.130467
1.5300002,97,21.146092
1.4900001,101,21.162059
1.7300004,77,21.163849
1.8200003,68,21.174166
1.7700003,73,21.187407
1.7300005,77,21.192757
1.5500003,95,21.199828
1.7800004,72,21.208728
1.7900004,71,21.208762
2.0300004,47,21.215859
1.8500004,65,21.23167
1.8700006,63,21.237043
1.7900004,71,21.249365
1.6900003,81,21.268111
1.9600005,54,21.272032
2.0200005,48,21.275989
1.8800005,62,21.277965
1.8300004,67,21.285172
1.4000002,110,21.291187
1.8300004,67,21.315854
1.2900002,121,21.3159
1.8900005,61,21.321381
1.8300004,67,21.323232
1.9100004,59,21.325064
1.46,104,21.337726
1.8000004,70,21.337777
1.6700002,83,21.389706
1.8200004,68,21.393176
1.8000004,70,21.404273
1.6600003,84,21.404321
1.7700005,73,21.406182
1.9900004,51,21.408007
1.7800004,72,21.4151
2.0500004,45,21.418812
1.44,106,21.425932
1.8600004,64,21.431356
1.9000005,60,21.43317
1.8600004,64,21.438456
1.5900002,91,21.440252
1.5500003,95,21.460946
2.0300004,47,21.490581
1.8200004,68,21.512238
1.8200004,68,21.51579
1.4600002,104,21.524796
1.8000003,70,21.530123
1.8500004,65,21.531965
1.7000004,80,21.547665
1.8400005,66,21.54949
1.8700004,63,21.551378
1.6900003,81,21.553228
1.1800003,132,21.558522
1.5900002,91,21.597309
1.5099999,99,21.597356
1.7400005,76,21.59919
1.3900002,111,21.626879
1.7300005,77,21.630479
1.8100004,69,21.637635
2.0000005,50,21.639499
1.8700004,63,21.639529
1.8100002,69,21.641372
1.8600004,64,21.648518
2.0100005,49,21.648549
1.3100003,119,21.655683
1.8600005,64,21.666284
-0.78999984,80,21.699755
1.6800003,82,21.701562
1.9100003,59,21.705061
1.8600004,64,21.716243
1.7800004,72,21.729007
2.0100002,49,21.72906
1.8900003,61,21.742659
2.0500004,45,21.750061
1.9400004,56,21.752034
1.8400005,66,21.762648
1.8700006,63,21.764476
1.7400005,76,21.766312
1.8000004,70,21.766341
1.8700004,63,21.771694
1.7400002,76,21.778733
1.0600007,144,21.792698
2.0400004,46,21.813541
1.9200004,58,21.82227
1.7800007,72,21.831764
1.9100006,59,21.837376
2.0100005,49,21.854925
2.0000005,50,21.861987
1.8000004,70,21.86903
1.5500002,95,21.874301
1.8000004,70,21.888215
1.7400005,76,21.888247
1.7200004,78,21.903926
