#{"t_start": 1758577206.2161815, "env_id": "None"}
r,l,t
2.18,32,86.31399
2.18,32,86.383669
2.18,32,86.450095
2.18,32,86.508744
2.18,32,86.567622
2.18,32,86.631625
2.18,32,86.689548
2.18,32,86.751454
2.18,32,86.808781
2.18,32,86.867491
2.18,32,86.927481
2.18,32,86.985346
2.18,32,87.044927
2.18,32,87.550939
2.18,32,87.60779
2.18,32,87.664569
2.18,32,87.721447
2.18,32,87.778567
2.18,32,87.835426
2.18,32,87.892373
2.18,32,87.948979
2.18,32,88.004752
2.18,32,88.061085
2.18,32,88.116835
2.17,33,88.174529
2.18,32,88.230358
2.18,32,88.288786
2.18,32,88.344867
2.18,32,88.40124
2.18,32,88.459163
2.18,32,88.518657
2.18,32,88.576697
2.18,32,88.633265
2.18,32,88.690331
2.18,32,88.746551
2.18,32,88.803971
2.18,32,88.861243
2.18,32,88.917658
2.18,32,88.973404
2.18,32,89.029595
2.18,32,89.08529
2.18,32,89.141809
2.18,32,89.198172
2.18,32,89.25404
2.18,32,89.312464
2.18,32,89.790115
2.18,32,89.846393
2.18,32,89.902864
2.18,32,89.959337
2.18,32,90.017485
2.18,32,90.074043
2.18,32,90.129927
2.18,32,90.186472
2.18,32,90.243011
2.18,32,90.299175
2.18,32,90.358266
2.18,32,90.414794
2.18,32,90.477196
2.18,32,90.535545
2.18,32,90.596851
2.18,32,90.656608
2.18,32,90.714994
2.18,32,90.772722
2.18,32,90.82957
2.18,32,90.896719
2.18,32,90.954588
2.18,32,91.02661
2.18,32,91.086587
2.18,32,91.157447
2.18,32,91.227209
2.18,32,91.290092
2.18,32,91.354784
2.18,32,91.41464
2.18,32,91.474808
2.18,32,91.532054
2.18,32,91.588783
2.18,32,91.648198
2.18,32,92.121627
2.18,32,92.179747
2.18,32,92.235792
2.18,32,92.291953
2.18,32,92.347864
2.18,32,92.403719
2.18,32,92.462535
2.18,32,92.519189
2.18,32,92.575061
2.18,32,92.630858
2.18,32,92.690129
2.18,32,92.746519
2.18,32,92.80521
2.18,32,92.862433
2.18,32,92.918935
2.18,32,92.975843
2.18,32,93.033954
2.18,32,93.09174
2.18,32,93.148247
2.17,33,93.207675
2.18,32,93.264753
2.18,32,93.323796
2.18,32,93.389993
2.18,32,93.446263
2.18,32,93.505409
2.18,32,93.561301
2.18,32,93.617218
2.17,33,93.676059
2.18,32,93.734304
2.18,32,93.790331
2.18,32,93.846454
2.17,33,93.904199
2.17,33,94.373364
2.18,32,94.429791
2.18,32,94.485773
2.18,32,94.544065
2.18,32,94.600147
2.18,32,94.655869
2.18,32,94.713002
2.18,32,94.772698
2.18,32,94.82874
2.18,32,94.884445
2.18,32,94.940418
2.18,32,94.996568
2.18,32,95.052772
2.18,32,95.109262
2.18,32,95.16712
2.18,32,95.223394
2.18,32,95.280143
2.18,32,95.341272
2.18,32,95.403379
2.18,32,95.464543
2.18,32,95.52492
2.18,32,95.586928
2.18,32,95.646984
2.18,32,95.709124
2.18,32,95.79063
2.18,32,95.870241
2.18,32,95.93028
2.18,32,95.992718
2.18,32,96.101878
2.18,32,96.16466
2.18,32,96.230296
2.18,32,96.296765
2.18,32,97.013851
2.18,32,97.070772
2.18,32,97.214457
2.18,32,97.272928
2.18,32,97.330646
2.18,32,97.387622
2.18,32,97.444633
2.18,32,97.501913
2.18,32,97.559339
2.18,32,97.615244
2.18,32,97.676043
2.18,32,97.733133
2.18,32,97.790188
2.18,32,97.849626
2.18,32,97.910446
2.18,32,97.967285
2.18,32,98.033185
2.18,32,98.103524
2.18,32,98.167778
2.18,32,98.234488
2.18,32,98.294926
2.18,32,98.354968
2.18,32,98.415062
2.18,32,98.479098
2.18,32,98.536648
2.18,32,98.593771
2.18,32,98.651884
2.18,32,98.712648
2.18,32,98.77005
2.18,32,98.829592
2.18,32,98.886945
2.18,32,98.946579
2.18,32,99.446844
2.18,32,99.505977
2.18,32,99.563216
2.18,32,99.620949
2.18,32,99.679287
2.18,32,99.73913
2.18,32,99.800231
2.18,32,99.856862
2.18,32,99.913118
2.18,32,99.976641
2.18,32,100.036829
2.18,32,100.098743
2.18,32,100.160479
2.18,32,100.221532
2.18,32,100.285456
2.18,32,100.346657
2.18,32,100.414485
2.18,32,100.485145
2.18,32,100.561952
2.18,32,100.624978
2.18,32,100.688732
2.18,32,100.760196
2.18,32,100.833801
2.18,32,100.906652
2.18,32,100.969274
2.18,32,101.048779
2.18,32,101.112831
2.18,32,101.176518
2.18,32,101.236897
2.18,32,101.297929
2.18,32,101.359298
2.18,32,101.418617
2.18,32,101.926907
2.18,32,101.983815
2.18,32,102.044183
2.18,32,102.107988
2.18,32,102.170272
2.18,32,102.229347
2.18,32,102.286579
2.18,32,102.345875
2.18,32,102.402459
2.18,32,102.459851
2.18,32,102.517232
2.18,32,102.575717
2.18,32,102.63547
2.18,32,102.693281
2.18,32,102.750387
2.18,32,102.80673
2.18,32,102.870338
2.18,32,102.932708
2.18,32,102.993492
2.18,32,103.056216
2.18,32,103.121417
2.18,32,103.181232
2.18,32,103.240254
2.18,32,103.347795
2.18,32,103.407482
2.18,32,103.467031
2.18,32,103.527184
2.18,32,103.586294
2.18,32,103.655521
2.18,32,103.717521
2.18,32,103.784249
2.18,32,103.854834
2.18,32,104.45887
2.18,32,104.520169
2.17,33,104.588362
2.18,32,104.657463
2.18,32,104.714755
2.18,32,104.772326
2.18,32,104.828473
2.18,32,104.884765
2.18,32,104.942515
2.18,32,105.00345
2.18,32,105.06207
2.18,32,105.119203
2.18,32,105.177901
2.18,32,105.238614
2.18,32,105.296148
2.18,32,105.352532
2.18,32,105.411268
2.18,32,105.474133
2.18,32,105.535306
2.18,32,105.593333
2.18,32,105.650638
2.18,32,105.708544
2.18,32,105.766027
2.18,32,105.82512
2.18,32,105.884879
2.18,32,105.943852
2.18,32,106.003042
2.18,32,106.062577
2.18,32,106.118633
2.18,32,106.175878
2.18,32,106.235359
2.18,32,106.292396
2.18,32,106.771116
2.18,32,106.827143
2.18,32,106.883342
2.18,32,106.940558
2.18,32,106.997609
2.18,32,107.056787
2.18,32,107.113393
2.18,32,107.16999
2.18,32,107.225804
2.18,32,107.284683
2.18,32,107.341133
2.18,32,107.396832
2.18,32,107.453152
2.18,32,107.509495
2.18,32,107.565699
2.17,33,107.623311
2.18,32,107.679978
2.18,32,107.736292
2.18,32,107.79249
2.18,32,107.849422
2.18,32,107.90541
2.18,32,107.963989
2.18,32,108.020404
2.18,32,108.079755
2.18,32,108.141598
2.18,32,108.201057
2.18,32,108.260051
2.18,32,108.332805
2.18,32,108.399063
2.18,32,108.462224
2.18,32,108.533146
2.18,32,108.600146
2.18,32,109.115596
2.18,32,109.179477
2.18,32,109.242633
2.18,32,109.300675
2.18,32,109.360358
2.18,32,109.419586
2.18,32,109.520282
2.18,32,109.576338
2.18,32,109.632349
2.18,32,109.68993
2.18,32,109.745925
2.18,32,109.801773
2.18,32,109.85907
2.18,32,109.916555
2.18,32,109.974818
2.18,32,110.031529
2.18,32,110.087883
2.18,32,110.145234
2.18,32,110.204316
2.18,32,110.260494
2.17,33,110.319275
2.18,32,110.378045
2.18,32,110.44122
2.18,32,110.503976
2.18,32,110.561752
2.18,32,110.617755
2.18,32,110.675239
2.18,32,110.732061
2.17,33,110.790383
2.18,32,110.846661
2.18,32,110.904024
2.18,32,110.967743
2.18,32,111.49087
2.18,32,111.547881
2.18,32,111.604101
2.18,32,111.660169
2.18,32,111.717686
2.18,32,111.773842
2.18,32,111.830609
2.18,32,111.886468
2.18,32,111.943506
2.18,32,112.001556
2.18,32,112.065076
2.18,32,112.124712
2.18,32,112.182296
2.18,32,112.240898
2.18,32,112.304045
2.18,32,112.362001
2.18,32,112.418839
2.18,32,112.479871
2.18,32,112.540472
2.18,32,112.596241
2.18,32,112.653273
2.18,32,112.711413
2.18,32,112.771237
2.18,32,112.830408
2.18,32,112.886475
2.18,32,112.947043
2.18,32,113.004582
2.18,32,113.0632
2.18,32,113.123803
2.18,32,113.180809
2.18,32,113.236638
2.18,32,113.293787
2.18,32,113.810827
2.16,34,113.877718
2.18,32,113.937265
2.18,32,113.996149
2.18,32,114.054703
2.18,32,114.113196
2.18,32,114.17102
2.18,32,114.229202
2.18,32,114.286274
2.18,32,114.347879
2.18,32,114.406868
2.18,32,114.462801
2.18,32,114.519599
2.18,32,114.577006
2.18,32,114.634104
2.18,32,114.690722
2.18,32,114.74721
2.18,32,114.805221
2.18,32,114.862217
2.18,32,114.919724
2.18,32,114.976712
2.18,32,115.034707
2.18,32,115.091066
2.18,32,115.148085
2.18,32,115.20445
2.18,32,115.261281
2.18,32,115.318946
2.18,32,115.378053
2.18,32,115.442251
2.18,32,115.50212
2.18,32,115.561868
2.18,32,115.621071
2.18,32,116.124573
2.18,32,116.180363
2.17,33,116.238272
2.18,32,116.294496
2.18,32,116.3509
2.18,32,116.407493
2.18,32,116.466559
2.18,32,116.523137
2.18,32,116.579082
2.18,32,116.634776
2.18,32,116.695595
2.18,32,116.754804
2.18,32,116.813721
2.18,32,116.871465
2.18,32,116.929039
2.18,32,116.984649
2.18,32,117.047194
2.18,32,117.104115
2.18,32,117.162442
2.18,32,117.220168
2.18,32,117.278758
2.18,32,117.337083
2.18,32,117.394806
2.18,32,117.452145
2.18,32,117.510158
2.18,32,117.567962
2.18,32,117.625763
2.18,32,117.684203
2.18,32,117.745893
2.18,32,117.802152
2.18,32,117.860038
2.18,32,117.918003
2.18,32,118.394108
2.18,32,118.452079
2.18,32,118.507929
2.18,32,118.567824
2.18,32,118.623898
2.18,32,118.681428
2.18,32,118.740322
2.18,32,118.801615
2.18,32,118.859731
2.18,32,118.917366
2.18,32,118.974903
2.18,32,119.032935
2.18,32,119.089701
2.18,32,119.14592
2.18,32,119.2028
2.18,32,119.259912
2.18,32,119.317215
2.18,32,119.374781
2.18,32,119.432061
2.18,32,119.489432
2.18,32,119.546957
2.18,32,119.608084
2.18,32,119.667008
2.18,32,119.726432
2.18,32,119.78572
2.18,32,119.846883
2.18,32,119.989512
2.18,32,120.046464
2.18,32,120.102875
2.18,32,120.158863
2.18,32,120.215168
2.18,32,120.271019
2.18,32,120.753369
2.18,32,120.809596
2.18,32,120.870695
2.18,32,120.929938
2.18,32,120.988961
2.18,32,121.047328
2.18,32,121.10431
2.18,32,121.16055
2.18,32,121.217855
2.18,32,121.276537
2.18,32,121.356019
2.18,32,121.422566
2.18,32,121.480356
2.18,32,121.53888
2.18,32,121.620505
2.18,32,121.688581
2.18,32,121.74673
2.18,32,121.802926
2.18,32,121.859771
2.18,32,121.918697
2.18,32,121.974844
2.18,32,122.031159
2.18,32,122.087327
2.18,32,122.143481
2.18,32,122.199921
2.18,32,122.255947
2.18,32,122.312762
2.18,32,122.368687
2.18,32,122.424705
2.18,32,122.483804
2.17,33,122.543027
