#{"t_start": 1758581180.9858956, "env_id": "None"}
r,l,t
-0.66,17,108.779145
-0.58,9,108.797573
-0.68,19,108.835469
-0.51,2,108.839251
-0.61,12,108.863221
-0.86,37,108.93936
-0.22,23,108.98388
-0.6,11,109.005505
-0.92,43,109.107062
-0.5,1,109.108902
-0.62,13,109.134242
-0.61,12,109.156531
-0.53,4,109.16463
-1.15,66,109.307914
-0.64,15,109.342776
-0.58,9,109.360609
-0.6,11,109.382282
-0.64,15,109.413797
-0.63,14,109.443511
-0.54,5,109.454598
-0.63,14,109.483651
-0.72,23,109.539842
-0.2,21,109.583286
-0.52,3,109.589142
-0.72,23,109.633213
-0.65,16,109.66675
-0.72,23,109.725144
-0.62,13,109.756496
-0.56,7,109.772324
-0.55,6,109.787117
-0.08,9,109.807098
-0.74,25,109.857439
-1.31,82,110.020333
-0.6,11,110.043082
-0.69,20,110.082907
-0.6,11,110.103892
-0.63,14,110.130071
-1.07,58,110.23961
-0.19,20,110.286537
-0.59,10,110.306023
-0.6,11,110.328833
-0.57,8,110.345049
-0.6,11,110.371321
-0.78,29,110.435365
-0.53,4,110.443198
-0.69,20,110.48395
-0.25,26,110.533585
-0.59,10,110.552807
-0.7,21,110.597141
-0.51,2,110.601344
-0.82,33,110.669232
-0.86,37,110.743949
-0.95,46,110.8412
-0.54,5,110.851437
-0.5,1,110.853534
-0.61,12,110.879626
-1.03,54,110.98994
-0.73,24,111.03627
-0.64,15,111.065108
-0.7,21,111.105436
-0.58,9,111.123092
-0.65,16,111.152836
-0.65,16,111.182634
-0.53,54,111.287638
-0.63,14,111.31844
-0.61,12,111.34066
-0.58,9,111.35764
-0.56,7,111.370956
-0.59,10,111.39031
-0.56,7,111.40438
-0.93,44,111.488765
-0.53,4,111.496305
-0.58,9,111.514442
-0.62,13,111.540135
-0.6,11,111.560939
-0.74,25,111.610469
-0.68,19,111.648493
-0.54,5,111.658748
-0.54,5,111.669847
-0.7,21,111.710229
-0.14,15,111.738303
-0.75,26,111.785914
-0.52,3,111.791787
-0.56,7,111.804903
-0.52,3,111.810726
-0.53,4,111.818774
-0.52,3,111.82441
-0.58,9,111.840796
-0.58,9,111.857425
-0.75,26,111.906996
-0.75,26,111.956045
-0.64,15,111.98472
-0.68,19,112.021796
-0.54,5,112.03224
-0.62,13,112.057763
-0.57,8,112.073305
-0.59,10,112.091693
-0.83,34,112.156143
-0.58,9,112.173008
-0.81,32,112.713524
-0.57,8,112.728443
-0.53,4,112.736826
-0.62,13,112.761969
-0.5,1,112.764286
-0.7,21,112.805171
-0.76,27,112.856401
-0.63,14,112.882797
-0.56,7,112.896386
-0.63,14,112.922848
-0.7,21,113.022532
-0.67,18,113.059142
-0.55,6,113.070472
-0.63,14,113.097626
-0.59,10,113.117707
-0.21,22,113.161179
-0.5,1,113.163413
-0.67,18,113.197973
-0.67,18,113.233676
-0.63,14,113.261011
-0.88,39,113.335577
-0.56,7,113.34859
-0.2,21,113.392297
-0.58,9,113.412632
-0.54,5,113.422439
-0.71,22,113.464427
-0.58,9,113.482089
-0.71,22,113.523397
-0.61,12,113.546222
-0.53,4,113.55407
-0.64,15,113.58202
-0.52,3,113.58769
-0.53,4,113.595108
-0.52,3,113.601144
-0.66,17,113.695932
-0.55,6,113.707218
-0.33,34,113.772569
-0.59,10,113.791912
-0.53,4,113.7996
-0.59,10,113.818587
-0.63,14,113.845774
-0.6,11,113.86921
-0.3,31,113.927142
-0.8,31,113.985221
-0.22,23,114.029152
-0.56,7,114.042563
-0.27,28,114.095618
-0.7,21,114.134808
-0.67,18,114.169125
-0.63,14,114.195577
-0.56,7,114.209296
-0.12,13,114.233443
-0.51,2,114.237311
-0.56,7,114.250674
-0.68,19,114.288797
-0.68,19,114.330187
-0.63,14,114.356513
-0.62,13,114.383254
-0.55,6,114.394459
-0.71,22,114.440736
-0.83,34,114.508355
-0.56,7,114.52211
-0.56,7,114.535458
-1.03,54,114.636478
-0.53,4,114.643874
-0.64,15,114.677765
-0.54,5,114.687309
-0.61,12,114.712344
-0.57,8,114.728266
-0.6,11,114.748737
-0.67,18,114.78392
-0.57,8,114.79898
-0.66,17,114.831378
-0.75,26,114.87951
-0.6,11,114.899733
-0.69,20,114.938242
-0.57,8,114.955101
-0.64,15,114.985349
-0.5,1,114.987445
-0.67,18,115.023355
-0.69,20,115.07519
-0.98,49,115.312457
-0.16,17,115.356033
-0.61,12,115.424623
-0.69,20,115.482733
-0.66,17,115.523105
-0.59,10,115.544631
-0.66,17,115.582247
-0.6,61,115.716599
-0.6,11,115.740523
-0.53,4,115.74999
-0.79,30,115.815989
-0.58,9,115.834422
-0.56,7,115.848204
-0.57,8,115.863959
-0.27,28,115.919669
-0.55,6,115.932541
-0.11,12,115.958209
-0.52,3,115.964453
-0.08,9,115.983087
-0.93,44,116.080501
-0.6,11,116.102949
-0.73,24,116.153443
-0.56,7,116.16742
-0.52,3,116.173292
-0.79,30,116.252183
-0.55,6,116.26829
-0.26,27,116.320508
-0.62,13,116.345194
-0.54,5,116.35497
-0.8,31,116.421134
-0.58,9,116.441108
-0.69,20,116.482069
-0.61,12,116.50561
-0.6,11,116.535399
-0.54,5,116.545403
-0.61,12,116.569656
-0.59,10,116.588822
-0.68,19,116.624951
-0.58,9,116.64204
-0.59,10,116.663152
-0.52,3,116.668881
-0.56,7,116.682928
-0.73,24,116.730006
-0.71,22,116.772595
-0.58,9,116.789795
-0.55,6,116.801849
-0.91,42,116.892078
-0.63,14,116.931387
-0.7,21,116.982886
-0.62,13,117.014195
-0.59,10,117.033253
-0.73,24,117.082822
-0.22,23,117.135305
-0.71,22,117.187892
-0.76,27,117.862762
-0.55,6,117.874942
